agent_id,team_name,skill_name,total_calls,avg_score,best_score,worst_score,resolved,escalated,unresolved,avg_dur_min,avg_hold_sec,sla_met,csat_pct
65875421,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,94.1,94.1,94.1,1.0,0.0,0.0,46.5,0.0,0.0,100.0
26514875,Leveraged,Careforth.SKL.PHN.US.EN,1,92.1,92.1,92.1,1.0,0.0,0.0,45.7,0.0,0.0,100.0
28787460,Billing Support,UI.SKL.PHN.EN,2,82.7,86.8,78.5,1.0,1.0,0.0,36.7,28.0,2.0,100.0
24165398,Shared Services,AEIConsultan.SKL.PHN.US.EN.PWD,1,78.6,78.6,78.6,0.0,1.0,0.0,52.4,0.0,0.0,100.0
24165398,Shared Services,Ambient.SKL.PHN.EN,1,73.4,73.4,73.4,1.0,0.0,0.0,45.8,0.0,0.0,100.0
29984756,Shared Services,Hanover.SKL.PHN.US.EN,1,70.9,70.9,70.9,1.0,0.0,0.0,59.5,0.0,0.0,100.0
28787456,Dedicated - Douglas Elliman,DE.SKL.PHN.EN,9,70.8,84.8,15.4,5.0,3.0,1.0,36.9,154.0,4.0,100.0
25454653,Shared Services,UI.SKL.PHN.EN,1,69.3,69.3,69.3,0.0,1.0,0.0,46.3,0.0,1.0,100.0
25465231,Shared Services,AEIConsultants.SKL.PHN.US.EN,1,68.2,68.2,68.2,0.0,1.0,0.0,62.3,0.0,0.0,100.0
26541524,Shared Services,TexasChiro.SKL.PHN.US.EN.PWD,1,68.0,68.0,68.0,1.0,0.0,0.0,58.0,0.0,0.0,100.0
24541241,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,68.0,68.0,68.0,0.0,1.0,0.0,46.5,0.0,0.0,100.0
29898672,Shared Services,Hanover.SKL.PHN.US.EN,1,66.4,66.4,66.4,0.0,1.0,0.0,55.1,0.0,0.0,100.0
25465231,Shared Services,GSRV.SKL.PHN.EN,1,65.1,65.1,65.1,1.0,0.0,0.0,123.4,0.0,0.0,100.0
25465231,Shared Services,UI.SKL.PHN.EN,1,64.8,64.8,64.8,1.0,0.0,0.0,62.8,0.0,1.0,100.0
